result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
loss,RFkvothe,SCHMITZ874,526,501,UTC,22,22
win,Infinight_77,SCHMITZ874,467,493,UTC,08,08
loss,vette123,SCHMITZ874,460,484,UTC,02,02
win,Slaffka999,SCHMITZ874,471,492,UTC,17,17
win,wnilly,SCHMITZ874,503,500,UTC,17,17
loss,pacool06,SCHMITZ874,464,491,UTC,01,01
tie,srpskitigar3,SCHMITZ874,546,499,UTC,05,05
win,corcel81,SCHMITZ874,459,507,UTC,22,23
loss,Green-Guy,SCHMITZ874,539,508,UTC,08,09
loss,AndrewMasek,SCHMITZ874,562,335,UTC,01,01
win,LuisDaniel567,SCHMITZ874,432,381,UTC,01,01
loss,AndrewMasek,SCHMITZ874,562,381,UTC,01,01
loss,ariftuna50,SCHMITZ874,515,493,UTC,20,20
win,montheraldeep,SCHMITZ874,498,525,UTC,01,01
win,ageelg,SCHMITZ874,485,532,UTC,04,05
win,fredysdominguezdominguez,SCHMITZ874,504,532,UTC,00,01
win,sdrocco,SCHMITZ874,490,539,UTC,04,04
win,arthur4hunnid,SCHMITZ874,538,590,UTC,20,20
loss,estebanurrego,SCHMITZ874,603,582,UTC,20,20
tie,Ayropire,SCHMITZ874,576,582,UTC,22,22
loss,ha1duk_veljko,SCHMITZ874,586,566,UTC,00,00
loss,mohamedkhalil22,SCHMITZ874,613,559,UTC,00,00
win,SergioSzkuraFilho,SCHMITZ874,572,558,UTC,21,21
win,Micahkemperkemper,SCHMITZ874,560,575,UTC,17,17
loss,sweetheart9841,SCHMITZ874,565,567,UTC,17,17
loss,AleksandrBaryshev,SCHMITZ874,553,565,UTC,18,18
loss,Rickv5535l,SCHMITZ874,590,557,UTC,18,18
loss,giacomo450,SCHMITZ874,581,542,UTC,22,23
loss,Sponki-ponki,SCHMITZ874,518,526,UTC,19,19
loss,ericleslimaf,SCHMITZ874,495,518,UTC,04,05
win,WM45,SCHMITZ874,497,526,UTC,17,17
loss,cesr99,SCHMITZ874,509,517,UTC,17,17
win,Lio_z,SCHMITZ874,548,518,UTC,21,21
loss,Jabby007,SCHMITZ874,554,517,UTC,04,04
loss,Kmoto88,SCHMITZ874,541,517,UTC,03,03
loss,Twassyeetwass,SCHMITZ874,513,516,UTC,21,22
loss,carlos19992,SCHMITZ874,533,508,UTC,17,17
win,RaminZia,SCHMITZ874,525,517,UTC,22,22
loss,ChessAlanL,SCHMITZ874,540,502,UTC,00,00
loss,blurred_focus93,SCHMITZ874,500,494,UTC,03,03
tie,faisssharaf,SCHMITZ874,530,503,UTC,05,05
win,rosedog1965,SCHMITZ874,453,510,UTC,23,23
win,akhtar472,SCHMITZ874,475,516,UTC,23,00
loss,Jaimeunu,SCHMITZ874,504,500,UTC,00,00
win,bastiansasmita,SCHMITZ874,425,506,UTC,00,00
win,Xevenheith,SCHMITZ874,482,514,UTC,01,01
win,AhMic710,SCHMITZ874,524,508,UTC,02,02
win,Dalexander99,SCHMITZ874,482,516,UTC,04,05
win,Passionfruitmacron,SCHMITZ874,522,524,UTC,00,00
loss,Jexxchexx,SCHMITZ874,494,499,UTC,18,18
loss,Tolamon,SCHMITZ874,537,491,UTC,21,21
